species,block,street,trap,nummosquitos,wnvpresent,latitude,longitude,year,month,day
CULEX PIPIENS/RESTUANS,67, S KEDZIE AVE,T066,17,0,41.77166,-87.703047,2007,9,12
CULEX PIPIENS,67, S KEDZIE AVE,T066,31,0,41.77166,-87.703047,2007,9,12
CULEX PIPIENS/RESTUANS,73, S CICERO AVE,T067,16,1,41.759346,-87.745602,2007,9,12
CULEX PIPIENS,73, S CICERO AVE,T067,3,0,41.759346,-87.745602,2007,9,12
CULEX PIPIENS/RESTUANS,22, W 69TH ST,T069,9,0,41.768388,-87.678649,2007,9,12
CULEX PIPIENS,22, W 69TH ST,T069,6,0,41.768388,-87.678649,2007,9,12
CULEX TERRITANS,22, W 69TH ST,T069,1,0,41.768388,-87.678649,2007,9,12
CULEX PIPIENS,61, S MELVINA AVE,T071,2,0,41.781416,-87.776532,2007,9,12
CULEX PIPIENS/RESTUANS,10, E 67TH ST,T073,4,0,41.773215,-87.60088,2007,9,12
CULEX PIPIENS,10, E 67TH ST,T073,1,1,41.773215,-87.60088,2007,9,12
CULEX PIPIENS/RESTUANS,39, S ASHLAND AVE,T074,2,0,41.822536,-87.666343,2007,9,12
CULEX PIPIENS/RESTUANS,71, S SOUTH SHORE DR,T079,2,0,41.766202,-87.562889,2007,9,12
CULEX PIPIENS,77, S EBERHART AVE,T080,1,0,41.754676,-87.612922,2007,9,12
CULEX TERRITANS,40, S DEARBORN ST,T081,1,0,41.821582,-87.627796,2007,9,12
CULEX PIPIENS/RESTUANS,50, S UNION AVE,T082,1,0,41.803423,-87.642984,2007,9,12
CULEX PIPIENS/RESTUANS,52, S KOLMAR,T114,9,1,41.798697,-87.736812,2007,9,12
CULEX PIPIENS,52, S KOLMAR,T114,5,0,41.798697,-87.736812,2007,9,12
CULEX PIPIENS/RESTUANS,63, W 64TH ST,T155,32,0,41.776156,-87.778927,2007,9,12
CULEX PIPIENS,63, W 64TH ST,T155,22,0,41.776156,-87.778927,2007,9,12
CULEX PIPIENS,37, S PULASKI RD,T063,6,0,41.82561,-87.726549,2007,9,12
CULEX PIPIENS,12, S DOTY AVE,T115,200,0,41.673408,-87.599862,2007,9,12
CULEX PIPIENS/RESTUANS,10, S STONY ISLAND AVE,T138,13,0,41.726465,-87.585413,2007,9,12
CULEX PIPIENS,10, S STONY ISLAND AVE,T138,116,0,41.726465,-87.585413,2007,9,12
CULEX PIPIENS/RESTUANS,13, S TORRENCE AVE,T200,20,0,41.678618,-87.559308,2007,9,12
CULEX PIPIENS,13, S TORRENCE AVE,T200,12,0,41.678618,-87.559308,2007,9,12
CULEX PIPIENS/RESTUANS,13, S MACKINAW,T206,7,0,41.737052,-87.543067,2007,9,12
CULEX PIPIENS/RESTUANS,13, S BRANDON,T209,7,0,41.740641,-87.546587,2007,9,12
CULEX PIPIENS,13, S BRANDON,T209,25,0,41.740641,-87.546587,2007,9,12
CULEX PIPIENS/RESTUANS,37, E 118TH ST,T212,8,0,41.680946,-87.535198,2007,9,12
CULEX PIPIENS,37, E 118TH ST,T212,3,0,41.680946,-87.535198,2007,9,12
CULEX PIPIENS/RESTUANS,38, E 115TH ST,T215,18,0,41.686398,-87.531635,2007,9,12
CULEX PIPIENS,38, E 115TH ST,T215,3,0,41.686398,-87.531635,2007,9,12
CULEX PIPIENS,81, E 91ST ST,T107,3,0,41.729669,-87.582699,2007,9,12
CULEX PIPIENS/RESTUANS,24, E 105TH ST,T128,2,0,41.704572,-87.565666,2007,9,12
CULEX PIPIENS,24, E 105TH ST,T128,32,0,41.704572,-87.565666,2007,9,12
CULEX PIPIENS/RESTUANS,80, S KEDZIE AVE,T072,1,0,41.74785,-87.702716,2007,9,12
CULEX PIPIENS,65, S RACINE AVE,T078,1,0,41.775051,-87.655356,2007,9,12
CULEX PIPIENS/RESTUANS,82, E 138TH ST,T097,1,0,41.644612,-87.604498,2007,9,12
CULEX PIPIENS,98, S AVENUE G,T100,1,0,41.717753,-87.531657,2007,9,12
CULEX PIPIENS/RESTUANS,10, S COTTAGE GROVE,T102,1,0,41.750498,-87.605294,2007,9,12
CULEX PIPIENS,10, S COTTAGE GROVE,T102,1,0,41.750498,-87.605294,2007,9,12
CULEX PIPIENS,11, S AVENUE L,T103,41,0,41.702724,-87.536497,2007,9,12
CULEX PIPIENS,58, N PULASKI RD,T027,1,0,41.984809,-87.728492,2007,9,12
CULEX PIPIENS/RESTUANS,66, S KILPATRICK AVE,T156,6,0,41.772846,-87.740029,2007,9,12
CULEX PIPIENS,66, S KILPATRICK AVE,T156,1,0,41.772846,-87.740029,2007,9,12
CULEX PIPIENS,40, E 130TH ST,T221,1,0,41.659112,-87.538693,2007,9,12
CULEX SALINARIUS,40, E 130TH ST,T221,1,0,41.659112,-87.538693,2007,9,12
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,24,0,41.95469,-87.800991,2007,9,18
CULEX PIPIENS,41, N OAK PARK AVE,T002,17,0,41.95469,-87.800991,2007,9,18
CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,5,0,41.994991,-87.769279,2007,9,18
CULEX PIPIENS,62, N MANDELL AVE,T007,13,0,41.994991,-87.769279,2007,9,18
CULEX PIPIENS,79, W FOSTER AVE,T015,3,0,41.974089,-87.824812,2007,9,18
CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,6,0,41.9216,-87.666455,2007,9,18
CULEX PIPIENS,15, W WEBSTER AVE,T045,7,0,41.9216,-87.666455,2007,9,18
CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,3,0,41.891118,-87.654491,2007,9,18
CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,2,0,41.867108,-87.654224,2007,9,18
CULEX PIPIENS,11, W ROOSEVELT,T048,2,0,41.867108,-87.654224,2007,9,18
CULEX PIPIENS,11, W CHICAGO,T049,1,0,41.896282,-87.655232,2007,9,18
CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,2,0,41.921965,-87.632085,2007,9,18
CULEX PIPIENS,22, N CANNON DR,T054,1,0,41.921965,-87.632085,2007,9,18
CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,2,0,41.891126,-87.61156,2007,9,18
CULEX PIPIENS,53, N STREETER DR,T129,7,0,41.891126,-87.61156,2007,9,18
CULEX TERRITANS,53, N STREETER DR,T129,1,0,41.891126,-87.61156,2007,9,18
CULEX PIPIENS,65, N OAK PARK AVE,T143,1,0,41.999129,-87.795585,2007,9,18
CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,1,0,42.01743,-87.687769,2007,9,18
CULEX PIPIENS,75, N OAKLEY AVE,T148,2,0,42.01743,-87.687769,2007,9,18
CULEX PIPIENS,15, N LONG AVE,T153,4,0,41.907645,-87.760886,2007,9,18
CULEX PIPIENS/RESTUANS,91, W HIGGINS AVE,T009,6,0,41.981964,-87.812827,2007,9,18
CULEX PIPIENS,91, W HIGGINS AVE,T009,21,0,41.981964,-87.812827,2007,9,18
CULEX PIPIENS,36, N PITTSBURGH AVE,T011,1,0,41.944869,-87.832763,2007,9,18
CULEX TERRITANS,36, N PITTSBURGH AVE,T011,1,0,41.944869,-87.832763,2007,9,18
CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,5,0,42.011601,-87.811506,2007,9,18
CULEX PIPIENS,72, N OKETO AVE,T016,9,0,42.011601,-87.811506,2007,9,18
CULEX PIPIENS/RESTUANS,38, N CALIFORNIA AVE,T019,2,0,41.94983,-87.698457,2007,9,18
CULEX PIPIENS,38, N CALIFORNIA AVE,T019,1,0,41.94983,-87.698457,2007,9,18
CULEX PIPIENS,49, W BALMORAL AVE,T025,1,0,41.979243,-87.750938,2007,9,18
CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,9,0,41.986921,-87.689778,2007,9,18
CULEX RESTUANS,58, N WESTERN AVE,T028,3,0,41.986921,-87.689778,2007,9,18
CULEX PIPIENS,58, N WESTERN AVE,T028,10,0,41.986921,-87.689778,2007,9,18
CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,1,0,41.801498,-87.763416,2007,9,18
CULEX PIPIENS,50, S CENTRAL AVE,T031,11,0,41.801498,-87.763416,2007,9,18
CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,6,0,41.906638,-87.701431,2007,9,18
CULEX PIPIENS,14, N HUMBOLDT DR,T033,3,0,41.906638,-87.701431,2007,9,18
CULEX TERRITANS,53, W AGATITE AVE,T141,1,0,41.961743,-87.76007,2007,9,18
CULEX PIPIENS/RESTUANS,43, N ASHLAND AVE OVERPASS,T145,1,0,41.878114,-87.629798,2007,9,18
CULEX PIPIENS,43, N ASHLAND AVE OVERPASS,T145,1,0,41.878114,-87.629798,2007,9,18
CULEX PIPIENS,42, N RICHMOND ST,T146,4,0,41.958271,-87.702575,2007,9,18
CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,9,18
CULEX RESTUANS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,9,18
CULEX PIPIENS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,9,18
CULEX TERRITANS,18, W FARWELL AVE,T150,1,0,42.006858,-87.675919,2007,9,18
CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,7,0,41.916265,-87.800515,2007,9,18
CULEX PIPIENS,70,  W ARMITAGE AVENUE,T151,20,0,41.916265,-87.800515,2007,9,18
CULEX PIPIENS/RESTUANS,25, S MILLARD AVE,T152,1,0,41.846075,-87.716277,2007,9,18
CULEX PIPIENS,25, S MILLARD AVE,T152,3,0,41.846075,-87.716277,2007,9,18
CULEX TERRITANS,25, S MILLARD AVE,T152,1,0,41.846075,-87.716277,2007,9,18
CULEX PIPIENS,21, N LAWLER AVE,T154,1,0,41.918705,-87.752329,2007,9,18
CULEX SALINARIUS,21, N LAWLER AVE,T154,1,0,41.918705,-87.752329,2007,9,18
CULEX PIPIENS/RESTUANS,46, N MILWAUKEE AVE,T003,4,0,41.964242,-87.757639,2007,9,18
CULEX PIPIENS,60, N AVONDALE AVE,T006,2,0,41.990284,-87.797127,2007,9,18
CULEX PIPIENS/RESTUANS,70, N MOSELL AVE,T008,2,0,42.008314,-87.777921,2007,9,18
CULEX PIPIENS,70, N MOSELL AVE,T008,6,0,42.008314,-87.777921,2007,9,18
CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,1,0,41.991429,-87.747113,2007,9,18
CULEX RESTUANS,61, N LEMONT AVE,T012,1,0,41.991429,-87.747113,2007,9,18
CULEX PIPIENS,68, W BELDEN AVE,T037,7,0,41.921177,-87.79518,2007,9,18
CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,1,0,41.868142,-87.696269,2007,9,18
CULEX PIPIENS,11, S CALIFORNIA,T047,1,0,41.868142,-87.696269,2007,9,18
CULEX PIPIENS/RESTUANS,25, S THROOP,T051,2,0,41.846283,-87.656913,2007,9,18
CULEX PIPIENS/RESTUANS,18, W LELAND AVE,T219,1,0,41.966987,-87.674677,2007,9,18
CULEX PIPIENS/RESTUANS,61, W FULLERTON AVE,T013,1,0,41.923738,-87.785288,2007,9,18
CULEX PIPIENS,61, W FULLERTON AVE,T013,4,0,41.923738,-87.785288,2007,9,18
CULEX PIPIENS/RESTUANS,64, W STRONG ST,T014,1,0,41.970248,-87.787992,2007,9,18
CULEX PIPIENS,64, W STRONG ST,T014,2,0,41.970248,-87.787992,2007,9,18
CULEX TERRITANS,64, W STRONG ST,T014,3,0,41.970248,-87.787992,2007,9,18
CULEX PIPIENS/RESTUANS,12, W GREENLEAF AVE,T018,1,0,42.010412,-87.66214,2007,9,18
CULEX PIPIENS,12, W GREENLEAF AVE,T018,6,0,42.010412,-87.66214,2007,9,18
CULEX PIPIENS/RESTUANS,10, N CENTRAL PARK DR,T030,10,0,41.89923,-87.716788,2007,9,18
CULEX PIPIENS,33, N RUTHERFORD AVE,T144,3,0,41.94016,-87.794896,2007,9,18
CULEX PIPIENS,60, W ROSCOE ST,T005,1,0,41.942114,-87.776385,2007,9,18
CULEX TERRITANS,60, W ROSCOE ST,T005,1,0,41.942114,-87.776385,2007,9,18
CULEX PIPIENS/RESTUANS,60, W MONTROSE DR,T017,2,0,41.960616,-87.777189,2007,9,18
CULEX PIPIENS,60, W MONTROSE DR,T017,1,0,41.960616,-87.777189,2007,9,18
CULEX PIPIENS/RESTUANS,33, E RANDOLPH ST,T044,19,0,41.883284,-87.705085,2007,9,18
CULEX PIPIENS,33, E RANDOLPH ST,T044,1,0,41.883284,-87.705085,2007,9,18
CULEX PIPIENS/RESTUANS,49, W SUNNYSIDE AVE,T004,1,0,41.962728,-87.748367,2007,9,18
CULEX RESTUANS,49, W SUNNYSIDE AVE,T004,1,0,41.962728,-87.748367,2007,9,18
CULEX PIPIENS,49, W SUNNYSIDE AVE,T004,7,0,41.962728,-87.748367,2007,9,18
CULEX PIPIENS/RESTUANS,30, S HOYNE AVE,T035,4,0,41.836644,-87.677737,2007,9,18
CULEX PIPIENS,30, S HOYNE AVE,T035,2,0,41.836644,-87.677737,2007,9,18
CULEX TERRITANS,30, S HOYNE AVE,T035,1,0,41.836644,-87.677737,2007,9,18
CULEX PIPIENS/RESTUANS,17, N PULASKI RD,T039,2,0,41.911824,-87.726737,2007,9,18
CULEX SALINARIUS,17, N PULASKI RD,T039,1,0,41.911824,-87.726737,2007,9,18
CULEX PIPIENS/RESTUANS,22, W PERSHING RD,T060,2,0,41.823065,-87.678378,2007,9,18
CULEX PIPIENS,22, W PERSHING RD,T060,2,0,41.823065,-87.678378,2007,9,18
CULEX PIPIENS,22, W 51ST ST,T061,1,0,41.801179,-87.679447,2007,9,18
CULEX PIPIENS/RESTUANS,35, W 51ST ST,T062,14,0,41.800737,-87.71188,2007,9,18
CULEX PIPIENS,35, W 51ST ST,T062,20,0,41.800737,-87.71188,2007,9,18
CULEX PIPIENS,37, S PULASKI RD,T063,3,0,41.82561,-87.726549,2007,9,18
CULEX PIPIENS/RESTUANS,58, N PULASKI RD,T027,2,0,41.984809,-87.728492,2007,9,18
CULEX PIPIENS,58, N PULASKI RD,T027,6,0,41.984809,-87.728492,2007,9,18
CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,2,0,41.688324,-87.676709,2007,9,19
CULEX PIPIENS,22, W 113TH ST,T086,4,0,41.688324,-87.676709,2007,9,19
CULEX PIPIENS/RESTUANS,11, S PEORIA ST,T091,1,0,41.862292,-87.64886,2007,9,19
CULEX PIPIENS,11, S PEORIA ST,T091,1,0,41.862292,-87.64886,2007,9,19
CULEX TERRITANS,11, S PEORIA ST,T091,1,0,41.862292,-87.64886,2007,9,19
CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,2,0,41.720848,-87.666014,2007,9,19
CULEX RESTUANS,17, W 95TH ST,T094,1,0,41.720848,-87.666014,2007,9,19
CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,20,0,41.731922,-87.677512,2007,9,19
CULEX PIPIENS,22, W 89TH ST,T096,25,0,41.731922,-87.677512,2007,9,19
CULEX SALINARIUS,10, S VINCENNES,T089,1,0,41.723195,-87.64997,2007,9,19
CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,3,0,41.868077,-87.666901,2007,9,19
CULEX PIPIENS,11, S ASHLAND AVE,T090,3,0,41.868077,-87.666901,2007,9,19
CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,1,0,41.869216,-87.627561,2007,9,19
CULEX PIPIENS,11, S STATE ST,T092,2,0,41.869216,-87.627561,2007,9,19
CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,1,0,41.662014,-87.724608,2007,9,19
CULEX PIPIENS,43, N ASHLAND AVE OVERPASS,T145,1,0,41.878114,-87.629798,2007,9,19
CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,2,0,41.958271,-87.702575,2007,9,19
CULEX TERRITANS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,9,19
CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,2,0,41.682587,-87.707973,2007,9,19
CULEX PIPIENS,35, W 116TH ST,T158,1,0,41.682587,-87.707973,2007,9,19
CULEX TERRITANS,35, W 116TH ST,T158,1,0,41.682587,-87.707973,2007,9,19
CULEX PIPIENS/RESTUANS,10, W 95TH ST,T085,2,0,41.721474,-87.648064,2007,9,19
CULEX PIPIENS,10, W 95TH ST,T085,1,0,41.721474,-87.648064,2007,9,19
CULEX PIPIENS/RESTUANS,10, S CALIFORNIA AVE,T088,1,0,41.869107,-87.696293,2007,9,19
CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,1,0,41.719059,-87.675088,2007,9,19
CULEX PIPIENS/RESTUANS,20, E 111TH ST,T084,2,0,41.692555,-87.598865,2007,9,19
CULEX PIPIENS/RESTUANS,11, S ARTESIAN AVE,T160,1,0,41.903002,-87.688267,2007,9,19
CULEX PIPIENS,11, S ARTESIAN AVE,T160,1,0,41.903002,-87.688267,2007,9,19
CULEX PIPIENS,33, W 104TH ST,T095,1,0,41.704336,-87.703736,2007,9,19
CULEX PIPIENS/RESTUANS,52, W 63RD ST,T065,21,0,41.778297,-87.752411,2007,9,19
CULEX RESTUANS,52, W 63RD ST,T065,2,0,41.778297,-87.752411,2007,9,19
CULEX PIPIENS,52, W 63RD ST,T065,16,0,41.778297,-87.752411,2007,9,19
CULEX TERRITANS,52, W 63RD ST,T065,3,0,41.778297,-87.752411,2007,9,19
CULEX PIPIENS/RESTUANS,67, S KEDZIE AVE,T066,16,0,41.77166,-87.703047,2007,9,19
CULEX PIPIENS,67, S KEDZIE AVE,T066,14,0,41.77166,-87.703047,2007,9,19
CULEX PIPIENS/RESTUANS,73, S CICERO AVE,T067,6,0,41.759346,-87.745602,2007,9,19
CULEX PIPIENS,73, S CICERO AVE,T067,1,0,41.759346,-87.745602,2007,9,19
CULEX TERRITANS,73, S CICERO AVE,T067,2,0,41.759346,-87.745602,2007,9,19
CULEX PIPIENS/RESTUANS,52, S NORDICA,T070,2,0,41.797616,-87.797894,2007,9,19
CULEX PIPIENS,52, S NORDICA,T070,2,0,41.797616,-87.797894,2007,9,19
CULEX PIPIENS/RESTUANS,61, S MELVINA AVE,T071,1,0,41.781416,-87.776532,2007,9,19
CULEX PIPIENS,61, S MELVINA AVE,T071,2,0,41.781416,-87.776532,2007,9,19
CULEX PIPIENS/RESTUANS,10, E 67TH ST,T073,1,0,41.773215,-87.60088,2007,9,19
CULEX PIPIENS,10, E 67TH ST,T073,1,0,41.773215,-87.60088,2007,9,19
CULEX PIPIENS,39, S ASHLAND AVE,T074,2,0,41.822536,-87.666343,2007,9,19
CULEX PIPIENS,47, S CORNELL AVE,T075,3,0,41.799282,-87.585487,2007,9,19
CULEX PIPIENS/RESTUANS,55, S DR MARTIN LUTHER KING JR DR,T076,1,0,41.794781,-87.615989,2007,9,19
CULEX PIPIENS,64, S STONY ISLAND AVE,T077,1,0,41.778748,-87.586427,2007,9,19
CULEX PIPIENS/RESTUANS,71, S SOUTH SHORE DR,T079,6,0,41.766202,-87.562889,2007,9,19
CULEX PIPIENS,71, S SOUTH SHORE DR,T079,2,0,41.766202,-87.562889,2007,9,19
CULEX TERRITANS,71, S SOUTH SHORE DR,T079,1,0,41.766202,-87.562889,2007,9,19
CULEX PIPIENS/RESTUANS,77, S EBERHART AVE,T080,5,0,41.754676,-87.612922,2007,9,19
CULEX PIPIENS/RESTUANS,40, S DEARBORN ST,T081,2,0,41.821582,-87.627796,2007,9,19
CULEX TERRITANS,40, S DEARBORN ST,T081,2,0,41.821582,-87.627796,2007,9,19
CULEX PIPIENS,50, S UNION AVE,T082,1,0,41.803423,-87.642984,2007,9,19
CULEX TERRITANS,79, S CHICAGO AVE,T083,1,0,41.754292,-87.590773,2007,9,19
CULEX PIPIENS,52, S KOLMAR,T114,7,0,41.798697,-87.736812,2007,9,19
CULEX PIPIENS/RESTUANS,63, W 64TH ST,T155,15,0,41.776156,-87.778927,2007,9,19
CULEX PIPIENS,63, W 64TH ST,T155,5,0,41.776156,-87.778927,2007,9,19
CULEX TERRITANS,63, W 64TH ST,T155,1,0,41.776156,-87.778927,2007,9,19
CULEX PIPIENS/RESTUANS,37, S PULASKI RD,T063,4,0,41.82561,-87.726549,2007,9,19
CULEX PIPIENS/RESTUANS,12, S DOTY AVE,T115,389,0,41.673408,-87.599862,2007,9,19
CULEX RESTUANS,12, S DOTY AVE,T115,4,0,41.673408,-87.599862,2007,9,19
CULEX PIPIENS,12, S DOTY AVE,T115,968,1,41.673408,-87.599862,2007,9,19
CULEX PIPIENS/RESTUANS,10, S STONY ISLAND AVE,T138,21,0,41.726465,-87.585413,2007,9,19
CULEX PIPIENS,10, S STONY ISLAND AVE,T138,60,0,41.726465,-87.585413,2007,9,19
CULEX TERRITANS,10, S STONY ISLAND AVE,T138,2,0,41.726465,-87.585413,2007,9,19
CULEX PIPIENS/RESTUANS,13, S TORRENCE AVE,T200,8,0,41.678618,-87.559308,2007,9,19
CULEX PIPIENS,13, S TORRENCE AVE,T200,11,0,41.678618,-87.559308,2007,9,19
CULEX PIPIENS/RESTUANS,13, S MACKINAW,T206,1,0,41.737052,-87.543067,2007,9,19
CULEX TERRITANS,13, S MACKINAW,T206,1,0,41.737052,-87.543067,2007,9,19
CULEX PIPIENS/RESTUANS,13, S BRANDON,T209,5,0,41.740641,-87.546587,2007,9,19
CULEX TERRITANS,13, S BRANDON,T209,1,0,41.740641,-87.546587,2007,9,19
CULEX PIPIENS/RESTUANS,37, E 118TH ST,T212,2,0,41.680946,-87.535198,2007,9,19
CULEX PIPIENS,37, E 118TH ST,T212,2,0,41.680946,-87.535198,2007,9,19
CULEX PIPIENS/RESTUANS,38, E 115TH ST,T215,4,0,41.686398,-87.531635,2007,9,19
CULEX PIPIENS,81, E 91ST ST,T107,2,0,41.729669,-87.582699,2007,9,19
CULEX PIPIENS/RESTUANS,24, E 105TH ST,T128,5,0,41.704572,-87.565666,2007,9,19
CULEX PIPIENS,24, E 105TH ST,T128,5,0,41.704572,-87.565666,2007,9,19
CULEX PIPIENS/RESTUANS,65, S RACINE AVE,T078,1,0,41.775051,-87.655356,2007,9,19
CULEX PIPIENS/RESTUANS,89, S MUSKEGON AVE,T099,2,0,41.733643,-87.55551,2007,9,19
CULEX PIPIENS,89, S MUSKEGON AVE,T099,2,0,41.733643,-87.55551,2007,9,19
CULEX PIPIENS/RESTUANS,98, S AVENUE G,T100,1,0,41.717753,-87.531657,2007,9,19
CULEX PIPIENS,98, S AVENUE G,T100,7,0,41.717753,-87.531657,2007,9,19
CULEX PIPIENS/RESTUANS,10, S COTTAGE GROVE,T102,1,0,41.750498,-87.605294,2007,9,19
CULEX PIPIENS/RESTUANS,11, S AVENUE L,T103,6,0,41.702724,-87.536497,2007,9,19
CULEX PIPIENS,11, S AVENUE L,T103,2,0,41.702724,-87.536497,2007,9,19
CULEX RESTUANS,66, S KILPATRICK AVE,T156,1,0,41.772846,-87.740029,2007,9,19
CULEX PIPIENS,66, S KILPATRICK AVE,T156,2,0,41.772846,-87.740029,2007,9,19
CULEX TERRITANS,66, S KILPATRICK AVE,T156,1,0,41.772846,-87.740029,2007,9,19
CULEX PIPIENS/RESTUANS,81, W 37TH PL.,T157,1,0,41.825902,-87.667827,2007,9,19
CULEX PIPIENS,40, E 130TH ST,T221,3,0,41.659112,-87.538693,2007,9,19
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,33,0,41.95469,-87.800991,2007,9,24
CULEX PIPIENS,41, N OAK PARK AVE,T002,41,0,41.95469,-87.800991,2007,9,24
CULEX PIPIENS,62, N MANDELL AVE,T007,3,0,41.994991,-87.769279,2007,9,24
CULEX PIPIENS,79, W FOSTER AVE,T015,5,0,41.974089,-87.824812,2007,9,24
CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,11,0,41.867108,-87.654224,2007,9,24
CULEX PIPIENS,11, W ROOSEVELT,T048,5,0,41.867108,-87.654224,2007,9,24
CULEX PIPIENS/RESTUANS,11, W CHICAGO,T049,3,0,41.896282,-87.655232,2007,9,24
CULEX PIPIENS,11, W CHICAGO,T049,2,0,41.896282,-87.655232,2007,9,24
CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,7,0,41.921965,-87.632085,2007,9,24
CULEX PIPIENS,22, N CANNON DR,T054,2,0,41.921965,-87.632085,2007,9,24
CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,14,0,41.688324,-87.676709,2007,9,24
CULEX PIPIENS,22, W 113TH ST,T086,4,0,41.688324,-87.676709,2007,9,24
CULEX PIPIENS/RESTUANS,11, S PEORIA ST,T091,3,0,41.862292,-87.64886,2007,9,24
CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,17,0,41.731922,-87.677512,2007,9,24
CULEX PIPIENS,22, W 89TH ST,T096,51,0,41.731922,-87.677512,2007,9,24
CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,3,0,41.891126,-87.61156,2007,9,24
CULEX TERRITANS,53, N STREETER DR,T129,1,0,41.891126,-87.61156,2007,9,24
CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,10,0,41.999129,-87.795585,2007,9,24
CULEX PIPIENS,65, N OAK PARK AVE,T143,1,0,41.999129,-87.795585,2007,9,24
CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,3,0,42.01743,-87.687769,2007,9,24
CULEX PIPIENS,75, N OAKLEY AVE,T148,5,0,42.01743,-87.687769,2007,9,24
CULEX PIPIENS/RESTUANS,15, N LONG AVE,T153,10,0,41.907645,-87.760886,2007,9,24
CULEX PIPIENS/RESTUANS,89, S CARPENTER ST,T159,1,0,41.732984,-87.649642,2007,9,24
CULEX PIPIENS,89, S CARPENTER ST,T159,1,0,41.732984,-87.649642,2007,9,24
CULEX PIPIENS/RESTUANS,91, W HIGGINS AVE,T009,3,0,41.981964,-87.812827,2007,9,24
CULEX PIPIENS,91, W HIGGINS AVE,T009,29,0,41.981964,-87.812827,2007,9,24
CULEX PIPIENS,36, N PITTSBURGH AVE,T011,2,0,41.944869,-87.832763,2007,9,24
CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,5,0,42.011601,-87.811506,2007,9,24
CULEX PIPIENS,72, N OKETO AVE,T016,20,0,42.011601,-87.811506,2007,9,24
CULEX PIPIENS/RESTUANS,38, N CALIFORNIA AVE,T019,2,0,41.94983,-87.698457,2007,9,24
CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,1,0,41.979243,-87.750938,2007,9,24
CULEX PIPIENS,49, W BALMORAL AVE,T025,3,0,41.979243,-87.750938,2007,9,24
CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,5,0,41.986921,-87.689778,2007,9,24
CULEX RESTUANS,58, N WESTERN AVE,T028,1,0,41.986921,-87.689778,2007,9,24
CULEX PIPIENS,58, N WESTERN AVE,T028,12,0,41.986921,-87.689778,2007,9,24
CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,3,0,41.801498,-87.763416,2007,9,24
CULEX PIPIENS,50, S CENTRAL AVE,T031,20,0,41.801498,-87.763416,2007,9,24
CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,9,0,41.906638,-87.701431,2007,9,24
CULEX PIPIENS,14, N HUMBOLDT DR,T033,17,0,41.906638,-87.701431,2007,9,24
CULEX PIPIENS/RESTUANS,10, S VINCENNES,T089,2,0,41.723195,-87.64997,2007,9,24
CULEX PIPIENS,10, S VINCENNES,T089,7,0,41.723195,-87.64997,2007,9,24
CULEX PIPIENS,11, S ASHLAND AVE,T090,3,0,41.868077,-87.666901,2007,9,24
